num_elements,target,backtracking_time,backtracking_memory,dp_time,dp_memory,greedy_time,greedy_memory
3,7,5.700159817934036e-06,0.0,6.800051778554916e-06,4.57763671875e-05,8.00006091594696e-06,9.918212890625e-05
4,11,5.3998082876205444e-06,0.0,3.899913281202316e-06,4.57763671875e-05,5.2996911108493805e-06,9.918212890625e-05
4,11,7.200054824352264e-06,3.0517578125e-05,3.7200283259153366e-05,0.000213623046875,0.00019609974697232246,9.918212890625e-05
5,16,8.90018418431282e-06,0.0,3.149965777993202e-05,0.00025177001953125,6.0996972024440765e-06,0.00011444091796875
6,22,1.4999881386756897e-05,0.0,3.329990431666374e-05,4.57763671875e-05,8.299946784973145e-06,0.00011444091796875
10,2591,0.0007269000634551048,0.000274658203125,6.9998204708099365e-06,4.57763671875e-05,1.8700025975704193e-05,0.00018310546875
15,4356,0.03538590017706156,0.00042724609375,9.499955922365189e-06,4.57763671875e-05,2.440018579363823e-05,0.0002288818359375
17,4661,0.1613310999237001,0.00048828125,2.8499867767095566e-05,4.57763671875e-05,3.910018131136894e-05,0.000244140625
20,4090,1.2957627000287175,0.000579833984375,1.3699755072593689e-05,4.57763671875e-05,6.0700345784425735e-05,0.0002593994140625
23,6247,7.764111599884927,0.00067138671875,1.3899989426136017e-05,4.57763671875e-05,4.269974306225777e-05,0.0002899169921875
25,6580,31.43673240020871,0.000732421875,8.699949830770493e-06,4.57763671875e-05,6.589991971850395e-05,0.00030517578125
27,6532,117.86086730007082,0.00079345703125,1.7000362277030945e-05,4.57763671875e-05,0.0006929999217391014,0.0003204345703125
30,1000,8.067850700113922,0.000396728515625,0.014158899895846844,0.007816314697265625,3.860006108880043e-05,0.000335693359375
32,2000,76.48552280012518,0.00042724609375,0.06849680002778769,0.015445709228515625,4.540011286735535e-05,0.0003509521484375
