num_elements,target,backtracking_time,backtracking_memory,dp_time,dp_memory,greedy_time,greedy_memory
3,6,7.300172001123428e-06,0.0,3.20998951792717e-05,0.0002288818359375,1.3399869203567505e-05,0.0001220703125
4,10,1.3700220733880997e-05,6.866455078125e-05,0.00018279999494552612,0.00020599365234375,5.899928510189056e-06,9.918212890625e-05
4,10,1.679966226220131e-05,9.1552734375e-05,2.219993621110916e-05,0.00020599365234375,9.399838745594025e-06,9.918212890625e-05
5,15,1.3899989426136017e-05,8.392333984375e-05,1.8800143152475357e-05,0.000244140625,6.90016895532608e-06,0.00011444091796875
6,21,1.4899764209985733e-05,8.392333984375e-05,2.6100315153598785e-05,0.0002899169921875,6.90016895532608e-06,0.00011444091796875
10,566,0.00022079981863498688,0.000152587890625,0.001359499990940094,0.004535675048828125,1.2599863111972809e-05,0.00018310546875
15,875,0.001067199744284153,0.00018310546875,0.0033122003078460693,0.006923675537109375,3.660004585981369e-05,0.0002288818359375
17,1002,0.010901200119405985,0.00030517578125,0.005153799895197153,0.007892608642578125,3.719981759786606e-05,0.000244140625
20,641,0.008857999928295612,0.000244140625,0.0026294002309441566,0.005077362060546875,1.840014010667801e-05,0.0002593994140625
23,518,0.0022753002122044563,0.00018310546875,0.0019563999958336353,0.004138946533203125,3.119977191090584e-05,0.0002899169921875
25,1475,0.5855082999914885,0.000335693359375,0.012311500031501055,0.011470794677734375,5.249958485364914e-05,0.00030517578125
27,663,0.4228810998611152,0.000335693359375,0.00391049962490797,0.005245208740234375,1.929979771375656e-05,0.0003204345703125
30,1773,5.175863400101662,0.00042724609375,0.022297500167042017,0.013744354248046875,0.0002246997319161892,0.000335693359375
32,1575,180.95336370030418,0.000579833984375,0.028368100058287382,0.012203216552734375,6.179977208375931e-05,0.0003509521484375
