num_elements,target,dp_time,dp_memory,greedy_time,greedy_memory
3,6,3.42000275850296e-05,0.0002288818359375,3.899959847331047e-05,9.918212890625e-05
4,10,2.3700296878814697e-05,0.0002288818359375,8.19982960820198e-06,9.918212890625e-05
4,10,2.240017056465149e-05,0.00026702880859375,6.800051778554916e-06,9.918212890625e-05
5,15,2.2899825125932693e-05,0.00030517578125,5.499925464391708e-06,0.00011444091796875
6,21,2.8499867767095566e-05,0.0003509521484375,7.000286132097244e-06,0.00011444091796875
50,2943,0.043964500073343515,0.022762298583984375,3.91998328268528e-05,0.00048828125
100,5679,0.12848189985379577,0.043636322021484375,6.690016016364098e-05,0.0008697509765625
150,7258,0.21287930011749268,0.055683135986328125,0.00010509975254535675,0.001251220703125
200,10630,0.3935861997306347,0.08140945434570312,0.0001450004056096077,0.0016326904296875
250,13234,0.6976096001453698,0.10127639770507812,0.00014430005103349686,0.00201416015625
300,16290,0.9874331001192331,0.12459182739257812,0.00013189995661377907,0.0023956298828125
350,16674,1.2666730997152627,0.12752151489257812,0.0002001998946070671,0.002777099609375
400,20449,1.4949557003565133,0.15632247924804688,0.00022820010781288147,0.0031585693359375
450,22058,1.9759816997684538,0.16859817504882812,0.00026240013539791107,0.0035400390625
500,26017,2.360080699902028,0.19880294799804688,0.00028479984030127525,0.0039215087890625
